分類,施設名,組織,利用定員 （２・３号）,入所の可能性 ０歳児,入所の可能性 １歳児,入所の可能性 ２歳児,入所の可能性 ３歳児,入所の可能性 ４歳児,入所の可能性 ５歳児,申込児童数 ０歳児,申込児童数 １歳児,申込児童数 ２歳児,申込児童数 ３歳児,申込児童数 ４歳児,申込児童数 ５歳児,, 合計
幼保連携型認定こども園,幼保連携型みのり認定こども園,私立,100*,×,×,×,×,×,○,1,6,2,5,0,0,,14
幼保連携型認定こども園,聖ミカエル幼保連携型認定こども園,私立,100,×,×,×,×,×,×,1,4,1,1,0,0,,7
幼保連携型認定こども園,幼保連携型認定こども園　はたつかこども園,私立,90*,○,×,×,×,×,×,0,2,2,1,0,0,,5
幼保連携型認定こども園,大慈ほまれ幼保連携型認定こども園,私立,60,×,×,×,×,×,×,4,4,3,0,0,0,,11
幼保連携型認定こども園,幼保連携型認定こども園　塩原学園幼稚園,私立,40*,,,,×,×,○,,,,0,0,0,,0
幼稚園型認定こども園,認定こども園　神戸華僑幼稚園,私立,30*,,,,×,×,×,,,,5,4,2,,11
保育所,葺合保育所,公立,54,,○,×,×,○,×,,1,0,3,0,0,,4
保育所,生田保育所,公立,120,×,×,×,○,×,○,1,2,0,0,0,0,,3
保育所,たちばな保育所,公立,65,○,×,×,○,,,0,0,0,0,,,,0
保育所,みなと保育所,公立,54,,×,×,×,×,○,,0,0,0,0,0,,0
保育所,宮本保育所,公立,90,○,×,×,×,○,○,0,1,3,2,0,0,,6
保育所,二宮保育所※,公立,90,×,×,×,×,○,○,2,2,0,2,0,0,,6
保育所,神若保育所,公立,85,×,×,×,×,○,○,0,4,2,6,1,0,,13
保育所,古湊保育所,公立,90,,×,×,×,×,○,,4,1,1,0,0,,6
保育所,友愛幼児園,私立,120,×,×,×,×,×,○,6,2,0,10,0,1,,19
保育所,めぐみ愛児園,私立,90,×,×,×,×,○,○,3,0,0,1,0,0,,4
保育所,協和保育園,私立,30,○,○,×,,,,0,0,0,,,,,0
保育所,大慈保育園　　※分園を含む,私立,160,×,×,×,×,×,×,8,3,3,2,0,0,,16
保育所,ポートピア保育園,私立,210,×,○,○,×,○,×,0,0,0,1,0,0,,1
保育所,真生きらきら保育園,私立,60,×,×,×,×,×,×,0,0,0,0,0,0,,0
保育所,神女中山手保育園,私立,90,×,×,×,×,×,×,13,12,7,3,1,0,,36
保育所,成晃ひかり保育園,私立,70,×,×,○,×,○,○,1,0,0,1,0,0,,2
保育所,北野坂保育園,私立,80,×,×,×,×,×,×,2,1,4,1,0,0,,8
保育所,（仮称）元町ちどり保育園,私立,60,×,×,×,×,×,×,1,1,3,1,0,0,,6
家庭的保育事業,李　赤ちゃんホーム,私立,4,○,,,,,,0,,,,,,,0
家庭的保育事業,酒井　赤ちゃんホーム,私立,4,○,,,,,,0,,,,,,,0
小規模保育事業,Ohana保育園,私立,19,×,×,×,,,,0,0,0,,,,,0
小規模保育事業,トアハッピー保育園,私立,19,○,×,×,,,,0,0,0,,,,,0
小規模保育事業,さんのみやキッズ,私立,19,,×,×,,,,,0,0,,,,,0
小規模保育事業,ポピンズ神戸旧居留地,私立,19,×,○,×,,,,0,1,0,,,,,1
小規模保育事業,スペースかすがのみち保育ルーム,私立,12,×,○,○,,,,0,0,0,,,,,0
小規模保育事業,小規模保育園　はーもにぃ,私立,12,×,×,×,,,,0,0,0,,,,,0
小規模保育事業,新神戸アイテラス保育園,私立,12,○,×,○,,,,0,0,0,,,,,0
小規模保育事業,小規模保育園なぎさ,私立,19,×,×,×,,,,0,0,0,,,,,0
小規模保育事業,元町キッズルーム,私立,12,○,×,×,,,,0,0,0,,,,,0
小規模保育事業,フォアベルク保育園,私立,12,×,×,○,,,,0,0,0,,,,,0
小規模保育事業,キッズパートナー三宮,私立,19,○,○,○,,,,0,0,0,,,,,0
小規模保育事業,神戸ＹＷＣＡ保育園,私立,12,×,○,○,,,,0,0,0,,,,,0
小規模保育事業,神戸オリーブ保育園,私立,19,○,○,○,,,,1,0,0,,,,,1
小規模保育事業,京進のほいくえんＨＯＰＰＡ神戸駅前園,私立,12,○,×,○,,,,0,1,0,,,,,1
事業所内保育事業,はーもにぃⅠｓｏｂｅ,私立 1,12（内地域枠6）,○,○,○,,,,1,1,0,,,,,2
