分類,施設名,組織,利用定員 （２・３号）,申込児童数 ０歳児,申込児童数 １歳児,申込児童数 ２歳児,申込児童数 ３歳児,申込児童数 ４歳児,申込児童数 ５歳児,, 合計,
幼保連携型認定こども園,幼保連携型認定こども園　若木保育園,私立,80*,2,5,1,0,0,0,,8,
幼保連携型認定こども園,幼保連携型認定こども園　大手幼稚園,私立,40*,,,3,1,2,0,,6,
幼保連携型認定こども園,幼保連携型認定こども園　西須磨幼稚園,私立,60*,,3,3,3,0,1,,10,
幼保連携型認定こども園,幼保連携型認定こども園　神戸YMCAちとせ幼稚園,私立,20*,,,,3,2,2,,7,
幼稚園型認定こども園,認定こども園　禅昌寺幼稚園,私立,20*,,,,0,0,0,,0,
保育所,須磨保育所,公立,232,1,30,2,1,4,1,,39,
保育所,たかとり保育所,公立,54,0,3,1,2,0,0,,6,
保育所,高倉台保育所,公立,90,1,2,2,3,0,0,,8,
保育所,東須磨愛児園　　※分園含む,私立,70,1,4,0,0,0,0,,5,
保育所,太田共同保育園,私立,40,1,0,1,0,,,,2,
保育所,千歳保育園,私立,120,1,7,0,1,0,0,,9,
保育所,村雨保育園　※分園含む　※２,私立,132,4,14,2,2,0,0,,22,
保育所,すまいる保育園,私立,90,1,3,0,0,0,0,,4,
保育所,いたやど保育園,私立,70,0,6,1,0,0,0,,7,
保育所,(仮称)若宮保育園,私立,50,0,3,1,0,1,1,,6,
保育所,(仮称)たかとりちどり保育園,私立,80,0,3,0,0,0,0,,3,
家庭的保育事業,大池　赤ちゃんホーム,私立,5,1,0,0,,,,,1,
家庭的保育事業,林　赤ちゃんホーム,私立,4,0,0,,,,,,0,
家庭的保育事業,小原　赤ちゃんホーム,私立,4,1,,,,,,,1,
事業所内保育事業,（仮称）ヤクルトキッズスクール須磨,私立,19（内地域枠5）,0,,,,,,,0,
